x,y
-3.0,9.0
-2.993993993993994,8.964000036072107
-2.987987987987988,8.928072216360503
-2.981981981981982,8.89221654086519
-2.975975975975976,8.856433009586164
-2.96996996996997,8.820721622523424
-2.963963963963964,8.785082379676973
-2.957957957957958,8.749515281046811
-2.951951951951952,8.71402032663294
-2.945945945945946,8.678597516435355
-2.93993993993994,8.643246850454057
-2.933933933933934,8.607968328689049
-2.9279279279279278,8.572761951140329
-2.921921921921922,8.537627717807899
-2.915915915915916,8.502565628691755
-2.90990990990991,8.4675756837919
-2.903903903903904,8.432657883108334
-2.8978978978978978,8.397812226641054
-2.891891891891892,8.363038714390067
-2.885885885885886,8.328337346355365
-2.87987987987988,8.293708122536952
-2.873873873873874,8.259151042934826
-2.8678678678678677,8.22466610754899
-2.861861861861862,8.190253316379444
-2.855855855855856,8.155912669426185
-2.84984984984985,8.121644166689212
-2.843843843843844,8.087447808168529
-2.8378378378378377,8.053323593864134
-2.831831831831832,8.01927152377603
-2.825825825825826,7.985291597904212
-2.81981981981982,7.951383816248682
-2.813813813813814,7.91754817880944
-2.8078078078078077,7.883784685586487
-2.8018018018018016,7.850093336579822
-2.795795795795796,7.816474131789448
-2.78978978978979,7.78292707121536
-2.7837837837837838,7.74945215485756
-2.7777777777777777,7.716049382716049
-2.7717717717717716,7.682718754790826
-2.765765765765766,7.649460271081893
-2.75975975975976,7.616273931589247
-2.7537537537537538,7.583159736312889
-2.7477477477477477,7.55011768525282
-2.7417417417417416,7.517147778409039
-2.735735735735736,7.484250015781548
-2.72972972972973,7.451424397370344
-2.7237237237237237,7.418670923175427
-2.7177177177177176,7.3859895931968
-2.7117117117117115,7.353380407434461
-2.705705705705706,7.320843365888412
-2.6996996996997,7.2883784685586495
-2.6936936936936937,7.255985715445175
-2.6876876876876876,7.223665106547989
-2.6816816816816815,7.191416641867091
-2.6756756756756754,7.159240321402482
-2.66966966966967,7.1271361451541635
-2.6636636636636637,7.095104113122131
-2.6576576576576576,7.063144225306387
-2.6516516516516515,7.031256481706931
-2.6456456456456454,6.999440882323764
